Title	Pseudo-title	Sub-title	Identifier	Date	Flight Line	Photo #	Scale	Latitude	Longitude	Thumbnail Link	Archive Link	Location in Drive	Corporate Name/Author	Personal Name/Author	Publisher	Publication Location	Set Date	Physical Description	General Note	Subject (Geographic)	Subject (Geographic)	Subject (Geographic)	Continent	Country	Province/State	Region	County	City	City Section	Area	Index	Condition Notes	Flightline String	Digital Archive Identifier
City of Hamilton, 1927		aerial mosaic map from rectified aerial photographs	Hamilton	1927			[1:9,000 approximately]	43.25	-79.85	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1927.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71375	H:\Digitization_Projects\Air_Photos\AirPhotos_1927_Hamilton	Hamilton (Ont.)	McFaul, W. L.	Jack V. Elliot Air Service Limited	Hamilton, Ont.	1927	1 remote-sensing image ; 58 x 128 cm. Mosaic photograph. Some minor surface damage and missing information, mostly around edges.	In upper left corner: W.L. McFaul B.A. Sc., City Engineer. Reference numbers appear along the top and bottom edge; reference letters appear along both sides. Accession number on verso: 107466.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton						AirPhotos_Hamilton_1927
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	6/30/1934	A4700	76	[1:20,000]	43.184026	-79.412956	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4700-76.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72320	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario	Niagara				Lincoln	On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4700	AirPhotos_Hamilton_1934_A4700-76
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	6/30/1934	A4700	78	[1:20,000]	43.183963	-79.446087	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4700-78.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71895	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario	Niagara				Lincoln	On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4700	AirPhotos_Hamilton_1934_A4700-78
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	6/30/1934	A4700	80	[1:20,000]	43.184714	-79.480247	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4700-80.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72553	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario	Niagara				Lincoln	On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4700	AirPhotos_Hamilton_1934_A4700-80
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	9	[1:20,000]	43.164684	-79.925988	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-9.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72410	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-9
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	10	[1:20,000]	43.164168	-79.909422	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-10.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72307	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-10
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4701	11	[1:20,000]	43.162791	-79.897621	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-11.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72016	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-11
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	12	[1:20,000]	43.162282	-79.888726	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-12.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71909	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-12
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	13	[1:20,000]	43.16074	-79.872987	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-13.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71827	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-13
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	14	[1:20,000]	43.160912	-79.860477	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-14.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72044	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-14
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	15	[1:20,000]	43.160607	-79.848075	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-15.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71869	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-15
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	16	[1:20,000]	43.160725	-79.836402	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-16.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71935	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-16
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	17	[1:20,000]	43.160709	-79.824772	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-17.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71885	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-17
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	18	[1:20,000]	43.158486	-79.814987	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-18.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71986	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-18
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	19	[1:20,000]	43.159175	-79.801168	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-19.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71989	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-19
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	20	[1:20,000]	43.160239	-79.792328	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-20.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72554	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-20
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	21	[1:20,000]	43.159864	-79.781342	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-21.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71864	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-21
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	22	[1:20,000]	43.162118	-79.768639	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-22.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71891	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-22
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	23	[1:20,000]	43.160239	-79.757996	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-23.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71833	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-23
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	24	[1:20,000]	43.16218	-79.74452	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-24.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71799	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-24
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	7/1/1934	A4701	25	[1:20,000]	43.159926	-79.730659	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4701-25.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71996	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Brinbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4701	AirPhotos_Hamilton_1934_A4701-25
